City,latitude,longitude,name,desc
Shanghai,31.225344,121.488892,Shanghai,"Shanghai, CN"
Singapore,1.290453,103.852038,Singapore,"Singapore, SG"
Ningbo,29.872026,121.549887,Ningbo,"Ningbo, Xiangshan County, CN"
Pusan,35.099998,129.050003,Pusan,"Busan, KR"
Hong Kong,22.264412,114.167061,Hong Kong,"Hong Kong, HONG KONG, HK"
Qingdao,36.089509,120.349719,Qingdao,"Qingdao, Wulian County, CN"
Rotterdam,51.922896,4.463173,Rotterdam,"Rotterdam, NL"
Antwerp,51.22111,4.399708,Antwerp,"Antwerp, FLANDERS, BE"
Port Klang,3.002763,101.396674,Port Klang,"Pelabuhan Klang, SELANGOR, MY"
Kaohsiung,22.620335,120.312038,Kaohsiung,"Gao Xiong Shi, TW"
Xiamen,24.497442,118.135564,Xiamen,"Xiamen, CN"
Shekou,27.211944,119.571389,Shekou,"Shekou, CN"
Yantian,27.365936,114.37429,Yantian,"Yantian, CN"
Jebel Ali,25.011261,55.061161,Jebel Ali,"Mena Jabal Ali, DUBAI, AE"
Hamburg,53.550341,10.000654,Hamburg,"Hamburg, HAMBURG, DE"
Yokohama,35.444952,139.642105,Yokohama,"Yokohama, KANAGAWA, JP"
Nansha,61.7257,16.88368,Nansha,"Nansta, Hudiksvall, Gävleborgs Län, SE"
Colombo,6.934287,79.85327,Colombo,"Colombo, LK"
Xingang,35.304478,113.92085,Xingang,"Xinxiang, Xinxiang, CN"
Tanjung Pelepas,39.123564,117.198079,Tanjung Pelepas,"Tianjin, Jinghai, CN"
Valencia,44.933228,4.892081,Valencia,"Valence, Drôme, FR"
Le Havre,49.493898,0.107973,Le Havre,"Le Havre, Seine-Maritime, FR"
Bremerhaven,53.543015,8.580335,Bremerhaven,"Bremerhaven, Bremerhaven, FREE HANSEATIC CITY OF BREMEN, DE"
Laem Chabang,13.097056,100.915227,Laem Chabang,"Laem Chabang, CHON BURI, TH"
Barcelona,41.38256,2.177135,Barcelona,"Barcelona, CATALUÑA/CATALUNYA, ES"
Algeciras,36.13108,-5.448706,Algeciras,"Algeciras, Province of Cádiz, ANDALUSIA, ES"
Dalian,38.920716,121.638868,Dalian,"Dalian, Changhai County, CN"
Piraeus,37.944011,23.648354,Piraeus,"Municipality of Piraias, ATTICA PERIPHERY, GR"
Port Said,31.182596,32.372853,Port Said,"PORT SAID, EG"
Kwangyang,-7.41355,112.76556,Kwangyang,"Sidoarjo, Jawa Timur, ID"
Gioia Tauro,38.423974,15.898995,Gioia Tauro,"Gioia Tauro, Reggio Calabria, CALABRIA, IT"
