QUARTER,City,City,latitude,longitude,name,Q1 2006,Q2 2006,Q3 2006,Q4 2006,Q1 2007,Q2 2007,Q3 2007,Q4 2007,Q1 2008,Q2 2008,Q3 2008,Q4 2008,Q1 2009,Q2 2009,Q3 2009,Q4 2009,Q1 2010,Q2 2010,Q3 2010,Q4 2010,Q1 2011,Q2 2011,Q3 2011,Q4 2011,Q1 2012,Q2 2012,Q3 2012,Q4 2012,Q1 2013,Q2 2013,Q3 2013,Q4 2013,Q1 2014,Q2 2014,Q3 2014,Q4 2014,Q1 2015,Q2 2015,Q3 2015,Q4 2015,Q1 2016,Q2 2016,Q3 2016,Q4 2016,Q1 2017,Q2 2017,Q3 2017,Q4 2017,Q1 2018,Q2 2018,Q3 2018,Q4 2018,Q1 2019,Q2 2019,Q3 2019,Q4 2019,Q1 2020,Q2 2020,Q3 2020
"China, Shanghai",Shanghai,Shanghai,31.225344,121.488892,Shanghai,80.41947379,83.21785597,82.98508692,84.18073285,86.06581029,89.30583394,92.79118399,94.50253003,97.53007505,103.9424615,105.7135217,104.6118057,105.8172413,105.8772138,104.4923136,104.1818572,103.1152579,106.3494876,113.0096886,115.6548298,116.1925423,122.241098,119.1867359,118.0125947,113.2512525,114.8878122,115.9239468,117.9088061,116.3242962,117.3979979,121.3955579,119.9460996,117.7950089,117.7932872,120.4072463,119.7606272,121.4531787,123.7892878,127.3961886,126.8222252,125.2309464,125.4581977,125.1230402,123.6842092,123.9681547,128.8858603,129.932075,129.9180241,131.2193243,133.2391061,133.8542019,134.0651187,133.2759994,134.9007969,137.4869293,138.0792987,136.8516984,134.5102685,138.9138416
"Singapore, Singapore",Singapore,Singapore,1.290453,103.852038,Singapore,96.56442154,95.57717546,95.4940279,100.4263834,100.3804875,98.99756688,99.5345419,100.8809814,102.7828887,104.1950337,104.3706438,103.9181816,105.704598,104.9893695,106.6044151,106.5691372,106.3444277,108.1729914,111.293027,110.9229744,110.7241417,112.1265247,111.2018045,111.9867734,108.3705012,110.8173338,112.3562972,111.9372539,110.1229891,111.3735338,118.3773728,117.2658533,115.6452201,110.0657459,109.7335512,114.3328672,114.3877524,113.5433491,114.6688561,116.1059336,115.8532064,114.7927863,117.1170206,113.3555396,114.185245,120.2848638,122.0031962,123.7851351,126.164063,126.9521153,126.2715275,126.0500939,123.8252381,124.0623365,123.6919186,121.2716036,126.4104516,125.5219828,127.0483238
"China, Ningbo",Ningbo,Ningbo,29.872026,121.549887,Ningbo,54.95143528,56.96298049,58.85714987,59.0931423,59.88790747,66.20538807,67.64114212,71.28036411,72.06727024,73.3077819,75.53279081,75.24727746,77.48218395,79.59538585,78.06396499,78.42602313,77.18631825,79.70393748,84.15203453,84.94603379,85.79673248,91.79222853,91.2116484,91.35200213,88.91859236,90.36938668,92.17960026,92.62292997,91.96814452,94.8326861,99.82730055,99.42233643,97.14875987,97.72394685,99.74573471,97.58736896,99.59385199,101.2998054,105.4085638,103.790232,102.8112694,103.1162238,104.3308417,103.009582,104.1399022,110.9703553,112.7714294,113.6695682,115.7569532,117.0484456,115.7835624,115.6048868,114.4382873,115.6023339,118.7515815,119.0207227,118.8673412,117.8679081,121.7283128
"Korea, Republic of, Pusan",Pusan,Pusan,35.099998,129.050003,Pusan,77.93225909,78.0878237,78.54647906,79.3265635,79.59706383,79.15544378,80.99686261,81.41641448,79.96252877,80.55353765,81.42432745,80.47632161,90.20085195,91.27811958,81.93509182,82.27906868,82.08212927,87.21676605,95.96882739,94.64273057,95.47316005,96.91437168,97.1996651,96.0489916,93.86419735,94.07421213,96.0251848,97.17745917,96.44455431,99.76032964,104.1651212,104.2715848,102.0074183,101.280631,101.3130088,102.4992352,104.0907513,105.2920798,107.1757415,105.6325863,107.1882705,107.2435253,109.3349562,107.5288043,107.068044,110.8041118,110.5052206,111.3606158,111.4067365,112.7029871,112.5050694,113.5582743,113.6863898,115.0727479,118.9998696,119.0774979,118.731217,116.3947466,117.0986922
"China, Hong Kong SAR, Hong Kong",Hong Kong,Hong Kong,22.264412,114.167061,Hong Kong,100,100.7068746,100.6455576,102.5467794,102.2782799,103.9363534,106.1183831,109.5856129,108.7114276,108.0417355,107.920625,105.8187286,106.7101556,104.2721039,102.1924736,103.4530642,101.6672232,106.2891468,112.8874446,111.7532746,112.3932444,114.7524894,112.794905,111.0969412,107.8602993,105.2216327,106.1623019,108.1108457,106.5718799,108.2129723,111.6043579,109.7774381,107.4425661,107.1418075,104.5010666,104.2579453,104.9916538,105.6249885,105.4875845,104.826991,103.6314282,102.550623,104.6845852,103.4574471,103.9004364,105.1540966,104.9106579,106.0256507,106.7315471,108.2451117,105.1330513,104.716307,103.2525884,104.9365813,103.9188408,102.9584421,107.0277922,103.4532603,105.4669793
"China, Qingdao",Qingdao,Qingdao,36.089509,120.349719,Qingdao,48.13396211,49.2503808,50.08457847,50.37105608,52.07042026,52.91562219,53.12308897,53.56739309,55.19923577,55.33063932,57.05399354,57.78487814,62.56791396,65.14849518,55.66402778,54.1146747,55.97392295,57.22749647,59.98174565,60.37781954,69.45417223,69.06780424,67.41839919,66.11528101,65.6755853,64.3410316,65.28669004,65.50568526,65.78936728,65.68475309,66.94360096,69.95066187,68.95561958,70.4271107,72.81735054,76.97203198,77.53288035,79.98211198,83.44757109,84.37336915,85.28720693,85.59740568,86.40656182,86.1781877,86.79969497,89.68185165,91.24546881,89.8928689,90.35692928,91.7274541,93.05811267,91.42511318,90.96276499,91.84360257,97.8254738,98.43234752,97.98078859,95.5021809,96.02562341
"Netherlands, Rotterdam",Rotterdam,Rotterdam,51.922896,4.463173,Rotterdam,76.36962885,78.26769701,78.80416577,81.62659416,81.82039278,82.62141788,83.75337392,87.13951416,85.81145263,85.06216482,83.80075212,83.32771919,86.19143408,86.29405223,85.15191862,85.46957666,85.81009292,87.13999857,88.00027015,87.00845976,88.08800464,89.68636843,87.9027538,88.09416785,86.6470726,86.61332085,87.16851703,86.49476689,84.4418172,83.43377908,87.73630594,87.91804029,88.01825641,88.73185892,89.24012578,87.80998057,88.40094038,88.9497602,89.84342814,90.02861042,90.80831463,88.08411573,89.10115738,87.53050312,88.0350773,91.43304474,92.21185719,91.72705865,92.99316023,93.35061767,91.72807086,92.45658121,92.62146883,91.73111898,98.12739631,97.68531334,96.44028542,93.14523486,94.54520459
"Belgium, Antwerp",Antwerp,Antwerp,51.22111,4.399708,Antwerp,74.74409416,76.41499119,77.41858753,77.05938197,77.02318277,77.24253152,78.26492129,79.71844345,80.27696133,80.86896792,78.94136661,79.75452355,78.90954362,83.33614283,82.22147388,81.03760166,82.81981473,83.80437897,83.46478439,84.66274603,85.18643844,83.71649709,83.08391467,81.60954544,81.86032107,81.8593601,81.16689233,81.11628626,79.60028246,78.95426507,78.90531104,81.34249718,79.96334157,82.23799525,82.23296811,86.64744339,81.82074804,83.38140394,90.09677211,90.18100234,90.00043014,88.85077049,90.97399506,89.68277242,88.86980335,90.84617354,89.43171828,90.36119545,91.07782034,92.00494567,91.12733542,90.42012864,90.64874307,90.06898695,88.04590784,93.4807949,93.55476334,88.75068998,92.89485316
"Malaysia, Port Klang",Port Klang,Port Klang,3.002763,101.396674,Port Klang,60.23950968,61.63635554,62.6972489,63.00230214,64.68318435,65.1075612,65.69570941,67.12722468,67.55780403,67.95415384,67.88176848,70.17713956,67.15707588,67.59720072,67.98421781,68.60135171,67.59218729,69.72378195,76.79758131,77.09225779,77.74611198,80.94050346,81.19449141,80.62563927,78.59969275,78.45291244,79.07216777,81.82218333,80.48387234,81.50764733,81.07285469,79.98549775,79.71969086,79.75025709,79.61020932,79.02123639,84.16776837,84.80707953,86.47810932,87.46614499,87.93921623,89.33315725,88.77439084,87.34426569,85.73938612,81.38610707,80.46289537,81.3007965,86.79164523,88.3122679,87.3249047,88.40460803,86.4460978,87.3354588,88.05735047,87.92848157,88.22715795,88.38452171,88.46802912
"China, Taiwan Province of, Kaohsiung",Kaohsiung,Kaohsiung,22.620335,120.312038,Kaohsiung,59.78743385,60.42188846,58.417197,57.21432717,59.539877,57.52873526,57.757245,58.24193957,57.60507245,59.90480084,59.26155984,59.72139188,59.2624665,57.36366077,59.72528051,58.57018378,58.77737223,59.69329472,61.34421928,61.4128212,59.12069102,61.59128708,59.39885455,58.68796326,58.20394178,58.43451678,58.44617645,58.84356404,58.90383051,60.63631449,61.640098,65.91702293,60.65618203,67.13487546,67.49943088,68.54558042,68.20809067,70.77135222,71.94267153,72.38728943,71.08198093,70.61403645,70.71257908,68.96761139,69.26692216,70.05522713,70.72081418,71.91705377,72.23255867,72.07541488,73.35723732,72.40084964,82.74011897,84.3161303,84.6791047,84.6749202,82.29676724,81.24447131,87.87393162
