cartodb_id,x,y,objectid_1,objectid,id,port,port_name,grand_tota,foreign_to,imports,exports,domestic
1,-168.9382,53.75961,1,1,124,C4947,"Unalaska Island, AK",1652281,1236829,426251,810578,415452
2,-156.4728,20.89861,2,2,85,C4410,"Kahului, Maui, HI",3615449,20391,20391,0,3595058
3,-155.8333,20.03778,3,3,116,C4405,"Kawaihae Harbor, HI",2034621,0,0,0,2034621
4,-159.3531,21.96111,4,4,113,C4430,"Nawiliwili, Kauai, HI",2069212,22066,22066,0,2047146
5,-158.1089,21.29723,5,5,52,C4458,"Barbers Point, Oahu, HI",9854176,7384757,6683744,701013,2469419
6,-157.8717,21.31111,6,6,41,C4420,"Honolulu, HI",15181890,1439915,1146253,293662,13741975
7,-155.0758,19.72861,7,7,109,C4400,"Hilo, HI",2129034,20362,20362,0,2108672
8,-151.3144,60.74793,8,8,82,C4831,"Nikishka, AK",4173279,345110,89375,255735,3828169
9,-149.895,61.23778,9,9,87,C4820,"Anchorage, AK",3252349,1142384,1070471,71913,2109965
10,-146.3464,61.12473,10,10,27,C4816,"Valdez, AK",25807750,249648,0,249648,25558102
11,-164.5389,67.71918,11,11,130,C4978,"Kivilina, AK",1359589,3367,3367,0,1356222
12,-117.1784,32.70821,12,12,128,C4100,"San Diego, CA",1572162,1301084,1244610,56474,271078
13,-122.214012,37.50536,13,13,90,C4340,"Redwood City, CA",2957553,2743833,2352764,391069,213720
14,-122.399042,37.806665,14,14,126,C4335,"San Francisco, CA",1604190,895252,820003,75249,708938
15,-122.3081,37.82152,15,15,34,C4345,"Oakland, CA",19373876,17371852,8001995,9369857,2002024
16,-122.374233,37.924237,16,16,24,C4350,"Richmond, CA",27255061,18399389,13503409,4895980,8855672
17,-119.208475,34.148244,17,17,117,C4150,"Port Hueneme, CA",1987668,1978850,1795913,182937,8818
18,-118.241,33.77728,18,18,10,C4120,"Los Angeles, CA",67806137,59834464,39642613,20191851,7971673
19,-118.2095,33.73957,19,19,7,C4110,"Long Beach, CA",86536154,76189229,53588309,22600920,10346925
20,-121.3156,37.9527,20,20,77,C4270,"Stockton, CA",5248146,5247906,2943312,2304594,240
21,-124.2095,43.36351,21,21,100,C4660,"Coos Bay, OR",2344508,2289415,217950,2071465,55093
22,-122.8628,46.02048,22,22,40,C4626,"Kalama, WA",15796458,14758767,387714,14371053,1037691
23,-122.6653,45.47881,23,23,31,C4644,"Portland, OR",23228424,15670578,2403561,13267017,7557846
24,-122.6806,45.62244,24,24,50,C4636,"Vancouver, WA",10527470,9263945,1440265,7823680,1263525
25,-124.176146,46.904156,25,25,97,C4702,"Grays Harbor, WA",2755772,2646633,119426,2527207,109139
26,-122.914,46.14222,26,26,43,C4622,"Longview, WA",13738906,12519284,352839,12166445,1219622
27,-122.9089,47.06827,27,27,148,C4718,"Olympia, WA",820111,563471,0,563471,256640
28,-122.4515,47.28966,28,28,32,C4720,"Tacoma, WA",22849184,19624407,6814144,12810263,3224777
29,-122.359218,47.587711,29,29,26,C4722,"Seattle, WA",26046093,20403948,10126665,10277283,5642145
30,-122.2294,47.98476,30,30,147,C4725,"Everett, WA",838014,230374,159808,70566,607640
31,-122.59961,48.495943,31,31,49,C4730,"Anacortes, WA",11038886,3115380,1184533,1930847,7923506
32,-131.65,55.34193,32,32,146,C4800,"Ketchikan, AK",870290,153899,39275,114624,716391
33,-97.398138,25.952201,33,33,59,C2420,"Brownsville, TX",8348358,4986724,4259947,726777,3361634
34,-97.39789,27.81277,34,34,5,C2423,"Corpus Christi, TX",93468323,69224592,21718570,47506022,24243731
35,-96.97247,28.69131,35,35,84,C2411,"Victoria, TX",3860635,0,0,0,3860635
36,-96.56412,28.5954,36,36,76,C2410,"Matagorda Port Lv Pt Com, TX",5379731,2014237,659730,1354507,3365494
37,-95.3707,28.96133,37,37,28,C2408,"Freeport, TX",25446078,20898788,8004379,12894409,4547290
38,-94.8127,29.31049,38,38,53,C2417,"Galveston, TX",9111500,4720353,2054282,2666071,4391147
39,-95.293679,29.747023,39,39,2,C2012,"Houston, TX",268930047,191083422,73863287,117220135,77846625
40,-94.918091,29.363068,40,40,15,C2404,"Texas City, TX",42682311,25483184,5795169,19688015,17199127
41,-93.96069,29.83142,41,41,17,C2416,"Port Arthur, TX",39851706,28979946,9189716,19790230,10871760
42,-94.088112,30.087163,42,42,4,C2395,"Beaumont, TX",100244231,61846657,27617441,34229216,38397574
43,-93.818315,30.045488,43,43,134,C2394,"Orange, TX",1235508,133,96,37,1235375
44,-93.286839,30.106406,44,44,12,C2254,"Lake Charles, LA",56908344,29066473,16894334,12172139,27841871
45,-92.440674,31.312083,45,45,88,I2227,Central Louisiana Regional Port,3211068,0,0,0,3211068
46,-90.205279,29.121945,46,46,61,C1910,"Port Fourchon, LA",7836594,122354,15380,106974,7714240
47,-91.843795,29.937314,47,47,106,C2030,"Iberia, LA",2172388,0,0,0,2172388
48,-90.659051,29.57907,48,48,110,C2224,"Terrebonne, LA, Port of",2122316,930,930,0,2121386
49,-90.61794,30.03345,49,49,1,C2253,"South Louisiana, LA, Port of",275512500,141536873,38252692,103284181,133975627
50,-91.19934,30.42292,50,50,8,C2252,"Baton Rouge, LA",82234811,35084717,6284412,28800305,47150094
51,-91.430732,31.547238,51,51,141,I2270,"Natchez, MS",1045109,0,0,0,1045109
52,-90.90056,32.3347,52,52,89,I2276,"Vicksburg, MS",2962979,0,0,0,2962979
53,-91.15361,32.79472,53,53,136,I2269,"Lake Providence, LA",1147254,0,0,0,1147254
54,-91.126869,33.359232,54,54,91,I2271,"Greenville, MS",2944932,0,0,0,2944932
55,-89.687447,29.480004,55,55,13,C2255,"Plaquemines, LA, Port of",56850137,25735724,6605611,19130113,31114413
56,-90.085256,29.91414,56,56,6,C2251,"New Orleans, LA",93332543,43810994,18402293,25408701,49521549
57,-89.08533,30.35216,57,57,114,C2083,"Gulfport, MS",2052691,2025585,1374591,650994,27106
58,-88.55879,30.34802,58,58,23,C2004,"Pascagoula, MS",27358043,17521892,8833016,8688876,9836151
59,-88.04113,30.72527,59,59,11,C2005,"Mobile, AL",58635622,36516319,19104863,17411456,22119303
60,-84.19926,30.19009,60,60,108,C2016,"Panama City, FL",2140388,1717564,656103,1061461,422824
61,-82.60271,27.66,61,61,79,C2023,"Port Manatee, FL",4763728,3486373,3213890,272483,1277355
62,-82.52235,27.78534,62,62,22,C2021,"Tampa, FL",31006487,12216828,8053152,4163676,18789659
63,-80.181642,25.782862,63,63,58,C2164,"Miami, FL",8371129,8309232,4965413,3343819,61897
64,-80.117801,26.093392,64,64,29,C2163,"Port Everglades, FL",25022351,11646824,8136979,3509845,13375527
65,-80.05267,26.76904,65,65,112,C2162,"Palm Beach, FL",2094734,1527539,384057,1143482,567195
66,-80.60815,28.41409,66,66,75,C2160,"Port Canaveral, FL",5436994,4045149,4032876,12273,1391845
67,-81.665125,30.322757,67,67,35,C2017,"Jacksonville, FL",17999036,9721385,7744659,1976726,8277651
68,-81.49988,31.15856,68,68,99,C780,"Brunswick, GA",2503937,2419557,1139371,1280186,84380
69,-81.095382,32.084711,69,69,16,C776,"Savannah, GA",41273947,40138093,22512768,17625325,1135854
70,-79.921595,32.788781,70,70,30,C773,"Charleston, SC",24822636,22784122,14144869,8639253,2038514
71,-95.74002,36.2182,71,71,115,I6109,"Tulsa, Port of Catoosa, OK",2044890,0,0,0,2044890
72,-94.60762,39.115,72,72,129,I2385,"Kansas City, MO",1374284,0,0,0,1374284
73,-93.0619,44.95157,73,73,71,I2320,"St. Paul, MN",5813777,0,0,0,5813777
74,-91.02206,33.813551,74,74,139,I2268,"Rosedale, MS",1066185,0,0,0,1066185
75,-90.58323,34.52186,75,75,137,I2293,"Helena, AR",1118011,0,0,0,1118011
76,-90.06198,35.18177,76,76,48,I2294,"Memphis, TN",11055740,0,0,0,11055740
77,-89.56866,36.526837,77,77,102,I2288,"New Madrid County, MO, Port of",2259548,0,0,0,2259548
78,-89.205352,36.581544,78,78,132,I2304,"Hickman-Fulton County Riverport, KY",1283282,0,0,0,1283282
79,-88.693177,37.129276,79,79,122,I2302,"Paducah-McCracken County Riverport, KY",1813468,0,0,0,1813468
80,-90.22961,38.56954,80,80,19,I2310,"St. Louis, MO and IL",37426710,0,0,0,37426710
81,-89.93488,37.97332,81,81,140,I2301,"Southeast Missouri Port, MO",1054128,0,0,0,1054128
82,-90.046146,38.143332,82,82,72,I2307,"Kaskaskia, IL, Port of",5776030,0,0,0,5776030
83,-86.287506,34.373904,83,83,119,I2371,"Guntersville, AL",1918572,0,0,0,1918572
84,-86.77467,36.16513,84,84,69,I2370,"Nashville, TN",6154679,0,0,0,6154679
85,-85.32682,35.02448,85,85,105,I2372,"Chattanooga, TN",2225953,0,0,0,2225953
86,-87.875,37.92208,86,86,51,I2332,"Mount Vernon, IN",10332103,0,0,0,10332103
87,-87.593778,37.842685,87,87,123,I2329,"Henderson County Riverport, KY",1757755,0,0,0,1757755
88,-87.111688,37.776367,88,88,92,I2331,"Owensboro, KY",2872596,0,0,0,2872596
89,-87.63799,41.88662,89,89,37,L3749,"Chicago, IL",16866792,1689286,1586551,102735,15177506
90,-87.44547,41.67586,90,90,45,L3738,"Indiana Harbor, IN",11910541,173417,173417,0,11737124
91,-87.41614,41.64523,91,91,125,L3737,"Buffington, IN",1634865,0,0,0,1634865
92,-87.32513,41.61202,92,92,56,L3736,"Gary, IN",8600449,84286,84286,0,8516163
93,-87.15521,41.64325,93,93,57,L3739,"Burns Waterway Harbor, IN",8496097,973688,973688,0,7522409
94,-85.760993,38.26147,94,94,67,I2333,"Louisville, KY",6241476,0,0,0,6241476
95,-84.5045,39.09403,95,95,18,I2338,"Cincinnati-Northern KY, Ports of",38534187,0,0,0,38534187
96,-92.096408,46.778362,96,96,20,L3924,"Duluth-Superior, MN and WI",35102200,8316881,612677,7704204,26785319
97,-91.66261,47.00428,97,97,36,L3926,"Two Harbors, MN",17208207,3816588,152808,3663780,13391619
98,-91.256388,47.294208,98,98,66,L3928,"Silver Bay, MN",6248656,0,0,0,6248656
99,-87.89967,42.98824,99,99,101,L3756,"Milwaukee, WI",2301557,1230900,1013787,217113,1070657
100,-86.23557,43.06694,100,100,131,L3728,"Grand Haven, MI",1321003,280638,280638,0,1040365
101,-88.018118,44.516215,101,101,107,L3778,"Green Bay, WI",2156416,697579,689368,8211,1458837
102,-85.86279,45.95508,102,102,80,L3803,"Port Inland, MI",4327245,141901,13994,127907,4185344
103,-84.31281,45.99139,103,103,96,L3627,"Port Dolomite, MI",2766412,196646,69354,127292,2569766
104,-87.385166,46.577367,104,104,63,L3845,"Presque Isle, MI",7473094,1232946,52299,1180647,6240148
105,-87.28703,46.51113,105,105,143,L3844,"Marquette, MI",987596,315710,254808,60902,671886
106,-82.41998,38.43361,106,106,21,I2348,Huntington - Tristate,34245342,0,0,0,34245342
107,-83.50751,41.66294,107,107,54,L3204,"Toledo, OH",8899825,4251660,2035160,2216500,4648165
108,-83.390609,41.915134,108,108,135,L3202,"Monroe, MI",1195210,74885,40080,34805,1120325
109,-82.71227,41.47022,109,109,103,L3213,"Sandusky, OH",2247534,1055997,55523,1000474,1191537
110,-82.70906,41.52962,110,110,120,L3212,"Marblehead, OH",1889279,162174,149684,12490,1727105
111,-81.67191,41.47852,111,111,46,L3217,"Cleveland, OH",11778910,1663276,1641801,21475,10115634
112,-81.29407,41.76666,112,112,118,L3218,"Fairport Harbor, OH",1957879,63351,63351,0,1894528
113,-80.79172,41.91873,113,113,81,L3219,"Ashtabula, OH",4254537,446254,446254,0,3808283
